Depth_in_Drive,Core_Length,Abs_depth_cm,Age_clam,Volume,Abies_ whole,Abies_tip,Abies_mid,Abies_base,Abies_needles_total,Abies_Microstrobili,Abies_Microsporangia,Abies_Conescale,Abies_Conebract,Abies_seed,Abies total macro,Acerub_seed,Acerub_bud,Acerrub_total,Acersac_Seed,Acersac_samara,Acersac_bud,Acersac_total,Asteraceae,Betsp_seed,Betsp_bract,Betal_fruit,Betal_bract,Betal_fruitsandbracts,Betal_bud,Betpap_fruit,Betpap_bract,Betpap_fruitsandbracts,Betpap_bud,Unknownconiferbudscale,Unknownconiferbud,Cyperaceae_fruit,Unknowndeciduousbudscale,Dulichium_fruit,Fagus_bud,Fagus_lf,Quercus_bud,Najas,Nuphar,Pop_bud,Pinst_needtip,Pinst_needlemid,Pinst_needlebase,Pist_nedwh,pinst_needleraw,Pist needle total (STD50),Pinst_Budraw,Pins_tbudSTD50,Pinst_seed,Pinst_Microstrobili,Pinst_Microsporangia,Pinst_Seedwing,Pinst_Shortshootnoneedles,Pinst_Shortshootwithneedles,Pinst_Twig,Pinst_macrototal,Pinres_netip,Pinres_nemid,Pinres_nebase,PinRes_needles,Pinres_Shortshootnoneedles,Pinres_Shortshootwithneedles,Pinres_Microstrobili,Pinres_Microsporangia,Pinres_twig,Pinres_bud,Pinres_macrototal,Pinbank_mid,Pinbank_Sparangia,Pinbank_needles,Pic_needwhole,Pic_needtip,Pic_needmid,Pic_needbase,Pic_needletotal,Pic_needtwig,Pic_needbudscale,Picea_macrototal,Lar_needtip,Lar_needmid,Lar_needbase,Larix_needletotal,Tsuga_nedwhole,Tsuga_nedtip,Tsuga_needmid,Tsuga_needmbase,Tsuga_needletotal,TSCA_NEEDLETotalSTD50,Tsuga_seed,Tsuga_twig,Tsuga_Microstobili,Tsuga_Microsporangia,Tsuga_bud,Tsuga_Conescale,Tsuga_Seedwing,Tsuga_macrototal,TCTOTSTD,Taxus,Macrofossil sample,Core depth
59,251,311,5951,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941176471,1.470588235,4.411764706,0,932.3529412,0,0,0,0,0,0,2.941176471,0,0,0,5.882352941,120.5882353,2.941176471,0,,5.88,,752.9411765,0,7.352941176,41.17647059,5.882352941,0,0,0,810.2941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.823529412,7.352941176,0,26.47058824,35,35,14.70588235,0,1.470588235,1.470588235,0,0,0,88,53,0,1,251
60,252,312,5966,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,1.85,1.85,0,0,0,0,0,0,0,0,0,0,0,0,2,43,10,,10,,385,712.962963,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,5,7,13,,,,,,,,20,37,,1,252
62,254,314,5996,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,,46,23,,23,,377,628.3333333,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,2,5,8,,,,,,,,13,27,,1,254
63,255,315,6011,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,1,49,9,,9,,257,475.9259259,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,4,5,9,,3,,,,,,17,32,,1,255
64,256,316,6031,24,0,2.083333333,0,0,2.08333,0,0,0,0,0,2.08333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,4.166666667,0,1222.916667,0,0,0,0,0,0,0,0,0,0,2.083333333,152.0833333,0,0,,2.083333333,,579.1666667,0,2.083333333,52.08333333,2.083333333,4.166666667,0,0,641.6666667,0,4.166666667,0,2.083,0,0,0,0,0,0,4.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,0,0,6.25,8,8,2.083333333,0,0,0,0,0,0,19,10,0,1,256
69,261,321,6120,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.142857143,1.785714286,8.928571429,0,741.0714286,0,0,0,0,0,0,1.785714286,0,0,0,14.28571429,153.5714286,1.785714286,0,,14.28,,375,0,1.785714286,5.357142857,8.928571429,5.357142857,5.357142857,0,403.5714286,0,1.785714286,0,1.785,0,0,0,0,0,0,1.785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,261
74,266,326,6159,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,3.703703704,7.407407407,0,424.0740741,0,0,0,0,0,0,0,0,0,0,11.11111111,335.1851852,1.851851852,0,,11.11,,266.6666667,0,1.851851852,87.03703704,0,7.407407407,3.703703704,0,368.5185185,0,1.851851852,0,1.852,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266
79,271,331,6224,30,0,1.666666667,0,0,1.6667,0,0,0,0,0,1.6667,0,0,0,0,0,1.666666667,1.666666667,0,1.666666667,0,0,0,0,0,5,1.666666667,6.666666667,0,498.3333333,1.666666667,1.666666667,0,1.666666667,0,0,0,0,0,0,21.66666667,483.3333333,13.33333333,0,,21.67,,378.3333333,0,8.333333333,26.66666667,6.666666667,1.666666667,10,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,2,2,0,0,0,0,0,0,0,4,2,0,1,271
84,276,336,6352,31,0,1.612903226,0,0,1.612903,0,0,0,0,0,1.612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.8387097,0,0,0,1.612903226,0,0,0,1.612903226,0,0,22.58064516,274.1935484,3.225806452,0,,22.58,,319.3548387,0,9.677419355,51.61290323,1.612903226,1.612903226,3.225806452,0,390.3225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.612903226,0,8.064516129,8,8,0,0,0,0,0,0,0,16,8,0,1,276
89,281,341,6492,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,0,0,0,0,0,11.11111111,1.851851852,12.96296296,0,822.2222222,0,0,0,3.703703704,0,0,1.851851852,0,0,0,16.66666667,359.2592593,11.11111111,0,,16.67,,512.962963,1.851851852,5.555555556,35.18518519,16.66666667,9.259259259,1.851851852,0,594.4444444,0,1.851851852,0,1.852,0,0,0,0,0,1.851851852,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,281
94,286,346,6565,24,0,2.083333333,4.166666667,0,2.08333,0,0,0,0,0,2.08333,0,2.083333333,2.083333333,0,0,0,0,0,6.25,0,0,0,0,0,18.75,2.083333333,20.83333333,0,645.8333333,0,0,4.166666667,4.166666667,0,0,0,0,0,0,16.66666667,277.0833333,6.25,0,,16.67,,331.25,0,12.5,100,8.333333333,2.083333333,6.25,0,466.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,0,0,0,2,2,0,1,286
4,295,355,6643,29,1.724137931,1.724137931,0,0,3.45,0,0,0,0,0,3.45,1.724137931,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,8.620689655,1.724137931,10.34482759,0,693.1034483,0,0,0,5.172413793,0,0,5.172413793,1.724137931,0,0,17.24137931,281.0344828,10.34482759,0,,17.24,,491.3793103,1.724137931,5.172413793,12.06896552,0,8.620689655,6.896551724,0,536.2068966,0,6.896551724,0,1.724,0,0,0,0,0,0,6.896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295
9,300,360,6701,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34482759,0,0,0,0,0,3.448275862,0,3.448275862,0,1389.655172,0,0,0,3.448275862,0,0,1.724137931,0,1.724137931,0,31.03448276,417.2413793,6.896551724,0,,31.03,,370.6896552,0,17.24137931,118.9655172,0,1.724137931,5.172413793,0,520.6896552,0,3.448275862,0,1.724,0,0,0,0,0,3.448275862,6.896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300
14,305,365,6884,29,0,1.724137931,1.724137931,0,1.724,0,0,0,0,0,1.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34482759,6.896551724,17.24137931,0,831.0344828,0,0,0,0,0,0,0,0,0,0,12.06896552,427.5862069,6.896551724,0,,12.07,,420.6896552,0,5.172413793,62.06896552,0,6.896551724,12.06896552,0,513.7931034,0,1.724137931,0,1.724,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,305
19,310,370,7078,30,1.724137931,0,1.724137931,1.724137931,3.448,0,0,0,0,0,3.448,0,0,0,0,0,0,0,0,3.448275862,0,0,0,0,0,1.724137931,0,1.724137931,0,1286.206897,0,1.724137931,0,0,0,0,0,0,0,0,0,3.448275862,1.724137931,0,,1.724137931,,612.0689655,3.448275862,10.34482759,62.06896552,0,8.620689655,13.79310345,0,712.0689655,0,0,0,0,0,0,0,0,0,13.79310345,13.79310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310
24,315,375,7243,26,0,1.923076923,1.923076923,0,1.923077,0,0,0,0,0,1.923077,0,0,0,0,0,0,0,0,1.923076923,0,0,0,0,0,17.30769231,1.923076923,19.23076923,0,1032.692308,0,0,0,0,0,0,0,0,0,0,5.769230769,226.9230769,3.846153846,0,,5.76,,511.5384615,0,0,15.38461538,0,9.615384615,3.846153846,0,544.2307692,0,1.923076923,0,1.923,0,0,0,0,0,9.615384615,11.53846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,315
29,320,380,7351,32,0,0,1.5625,0,1.56,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,10.9375,0,0,0,0,0,10.9375,0,10.9375,0,592.1875,0,3.125,0,0,0,0,0,0,0,0,0,6.25,0,0,,1.5625,,342.1875,0,0,60.9375,0,0,7.8125,0,412.5,0,0,0,0,0,0,0,0,0,1.5625,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,320
34,325,385,7422,33,0,3.03030303,0,0,3.0303,0,0,0,0,0,3.0303,0,0,0,0,0,0,0,0,15.15151515,0,0,0,0,0,19.6969697,1.515151515,21.21212121,0,1010.606061,0,1.515151515,0,0,0,0,0,0,0,0,12.12121212,415.1515152,10.60606061,0,,12.12,,327.2727273,0,4.545454545,166.6666667,0,9.090909091,6.060606061,0,524.2424242,0,0,0,0,0,0,0,0,0,19.6969697,19.6969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515151515,0,0,0,0,0,0,2,2,0,1,325
39,330,390,7534,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,5.357142857,1.785714286,7.142857143,0,730.3571429,0,1.785714286,0,0,0,0,0,0,0,0,0,0,0,0,,0,,192.8571429,0,1.785714286,7.142857143,0,0,0,0,201.7857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,2,2,0,0,0,0,0,0,0,4,2,0,1,330
44,335,395,7682,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23529412,0,0,0,0,0,11.76470588,1.470588235,13.23529412,0,313.2352941,0,1.470588235,0,0,0,0,0,0,0,0,1.470588235,33.82352941,0,0,,1.470588235,,111.7647059,0,1.470588235,13.23529412,0,0,2.941176471,0,130.8823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335
49,340,400,7730,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,0,0,10,0,10,0,626.6666667,0,6.666666667,0,0,0,0,0,1.666666667,0,0,1.666666667,38.33333333,1.666666667,0,,1.666666667,,160,0,1.666666667,0,0,3.333333333,5,0,171.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340
54,345,405,7833,34,0,1.666666667,0,0,1.667,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,38.33333333,0,0,0,0,0,23.33333333,5,28.33333333,0,785,0,6.666666667,0,0,0,0,0,0,0,0,3.333333333,33.33333333,0,0,,3.33,,300,0,0,0,0,5,0,0,305,0,6.666666667,0,1.471,0,0,0,0,0,6.666666667,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,345
59,350,410,7945,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5,0,2.5,0,238.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,76.25,0,3.75,2.5,0,0,2.5,0,85,0,1.25,0,1.25,0,1.25,0,0,0,11.25,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,350
64,355,415,8141,32,0,0,4.6875,0,1.563,0,0,0,0,0,1.563,0,0,0,0,0,0,0,0,73.4375,0,0,0,0,0,17.1875,23.4375,40.625,0,40.625,0,0,4.6875,0,0,0,0,0,0,0,0,0,0,0,,0,,31.25,0,0,0,0,0,1.5625,0,32.8125,0,48.4375,0,1.563,6.25,3.125,6.25,68.75,0,121.875,254.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,355
69,360,420,8233,39,0,0,0,0,0,0,0,0,1.282051282,0,1.282051282,0,0,0,0,0,0,0,0,20.51282051,0,0,0,0,0,32.05128205,29.48717949,61.53846154,0,79.48717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2.564102564,0,0,0,0,0,0,0,2.564102564,0,12.82051282,0,1.282,1.282051282,0,3.846153846,7.692307692,0,69.23076923,94.87179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,360
74,365,425,8282,27,0,18.51851852,25.92592593,1.851851852,18.52,0,0,1.851851852,1.851851852,0,3.703703704,0,0,0,0,0,0,0,0,68.51851852,0,0,0,0,0,98.14814815,85.18518519,183.3333333,0,25.92592593,0,1.851851852,16.66666667,0,0,0,0,0,0,0,0,0,0,0,,0,,1.851851852,0,0,0,0,0,0,0,1.851851852,0,144.4444444,0,1.852,1.851851852,9.259259259,3.703703704,0,0,120.3703704,279.6296296,0,0,0,1.851851852,1.851851852,0,0,3.7182,0,1.851851852,5.5701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365
79,370,430,8314,42,0,1.19047619,1.19047619,0,1.19,0,0,2.380952381,2.380952381,0,5.951904762,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,25,13.0952381,38.0952381,0,8.333333333,0,3.571428571,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,13.0952381,0,1.19,0,0,1.19047619,0,1.19047619,4.761904762,20.23809524,1.19047619,0,1.19,0,1.19047619,1.19047619,0,1.190476,0,0,1.190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370
84,375,435,8454,26,0,1.923076923,3.846153846,0,1.92,0,0,1.923076923,1.923076923,0,5.766153846,0,0,0,0,0,0,0,0,126.9230769,0,0,0,0,0,163.4615385,67.30769231,230.7692308,7.692307692,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1.923076923,0,1.923,0,0,0,0,0,0,1.923076923,0,0,0,0,3.846153846,21.15384615,0,3.846154,0,0,3.846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,375
89,380,440,8486,44,0,6.818181818,6.818181818,0,6.818,0,0,5.681818182,1.136363636,1.136363636,14.77254545,0,0,0,0,0,0,0,0,25,0,0,0,0,0,21.59090909,6.818181818,28.40909091,0,1.136363636,0,1.136363636,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.136363636,1.136363636,2.272727273,0,1.136,4.545454545,9.090909091,10.22727273,1.136363636,13.6365,1.136363636,2.272727273,15.909,4.545454545,9.090909091,1.136363636,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,380
94,385,445,8516,39,0,5.128205128,1.282051282,0,5.128,0,0,2.564102564,1.282051282,0,8.974153846,0,0,0,0,0,0,0,0,244.8717949,0,0,0,0,0,193.5897436,92.30769231,285.8974359,0,3.846153846,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1.282051282,0,0,0,0,0,0,0,1.282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.282051282,1.282051282,0,1.2821,0,19.23076923,20.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,385
