Depth_in_Drive,Core_Length,Abs_depth_cm,Age_clam,Volume,Abies_ whole,Abies_tip,Abies_mid,Abies_base,Abies_needles_total,Abies_Microstrobili,Abies_Microsporangia,Abies_Conescale,Abies_Conebract,Abies_seed,Abies total macro,Acerub_seed,Acerub_bud,Acerrub_total,Acersac_Seed,Acersac_samara,Acersac_bud,Acersac_total,Asteraceae,Betsp_seed,Betsp_bract,Betal_fruit,Betal_bract,Betal_fruitsandbracts,Betal_bud,Betpap_fruit,Betpap_bract,Betpap_fruitsandbracts,Betpap_bud,Unknownconiferbudscale,Unknownconiferbud,Cyperaceae_fruit,Unknowndeciduousbudscale,Dulichium_fruit,Fagus_bud,Fagus_lf,Quercus_bud,Najas,Nuphar,Pop_bud,Pinst_needtip,Pinst_needlemid,Pinst_needlebase,Pist_nedwh,pinst_needleraw,Pist needle total (STD50),Pinst_Budraw,Pins_tbudSTD50,Pinst_seed,Pinst_Microstrobili,Pinst_Microsporangia,Pinst_Seedwing,Pinst_Shortshootnoneedles,Pinst_Shortshootwithneedles,Pinst_Twig,Pinst_macrototal,Pinres_netip,Pinres_nemid,Pinres_nebase,PinRes_needles,Pinres_Shortshootnoneedles,Pinres_Shortshootwithneedles,Pinres_Microstrobili,Pinres_Microsporangia,Pinres_twig,Pinres_bud,Pinres_macrototal,Pinbank_mid,Pinbank_Sparangia,Pinbank_needles,Pic_needwhole,Pic_needtip,Pic_needmid,Pic_needbase,Pic_needletotal,Pic_needtwig,Pic_needbudscale,Picea_macrototal,Lar_needtip,Lar_needmid,Lar_needbase,Larix_needletotal,Tsuga_nedwhole,Tsuga_nedtip,Tsuga_needmid,Tsuga_needmbase,Tsuga_needletotal,TSCA_NEEDLETotalSTD50,Tsuga_seed,Tsuga_twig,Tsuga_Microstobili,Tsuga_Microsporangia,Tsuga_bud,Tsuga_Conescale,Tsuga_Seedwing,Tsuga_macrototal,TCTOTSTD,Taxus,Macrofossil sample,Core depth
9,109,169,3756,25,0,0,10,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,6,0,6,0,0,0,0,0,92,0,0,0,2,0,0,0,0,0,0,4,118,2,0,,4,,78,2,0,22,0,0,2,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,6,0,0,0,10,8,0,1,109
14,114,174,3792,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,0,12,4,16,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,2,154,0,0,,2,,86,0,0,12,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,8,4,0,1,114
19,119,179,3839,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,12,0,0,0,0,0,172,0,0,0,0,0,0,4,0,0,0,8,82,0,0,,8,,118,0,4,52,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,6,6,2,0,4,52,0,0,0,70,64,0,1,119
24,124,184,3876,30,0,1.666666667,0,1.666666667,1.666666667,0,0,0,0,0,1.666666667,0,1.666666667,1.666666667,0,0,3.333333333,3.333333333,0,1.666666667,0,8.333333333,1.666666667,10,0,1.666666667,0,1.666666667,0,218.3333333,0,0,0,1.666666667,0,0,1.666666667,0,0,0,3.333333333,211.6666667,0,0,,3.33,,163.3333333,1.666666667,0,21.66666667,1.666666667,1.666666667,5,0,196.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.666666667,2,2,0,0,0,0,0,0,0,3,2,0,1,124
29,129,189,3929,30,0,3.333333333,0,0,3.33,0,0,0,0,0,3.33,0,0,0,0,6.666666667,10,16.66666667,1.666666667,1.666666667,0,5,6.666666667,11.66666667,0,0,1.666666667,1.666666667,0,178.3333333,1.666666667,0,0,0,0,0,1.666666667,0,0,0,1.666666667,123.3333333,1.666666667,0,,1.666666667,,111.6666667,3.333333333,5,23.33333333,1.666666667,0,1.666666667,0,148.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,1.666666667,0,0,3,3,0,1,129
34,134,194,3982,30,0,1.666666667,3.333333333,0,1.6667,0,0,0,0,0,1.6667,0,0,0,0,0,3.333333333,3.333333333,0,0,0,5,0,5,0,1.666666667,0,1.666666667,0,295,0,0,0,0,0,0,0,0,0,0,1.666666667,96.66666667,1.666666667,0,,1.666666667,,246.6666667,0,0,13.33333333,1.666666667,0,3.333333333,0,266.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,3,3,0,0,0,0,0,0,0,7,3,0,1,134
39,139,199,4022,30,0,0,3.333333333,0,1.667,0,0,0,0,0,1.667,0,0,0,0,0,3.333333333,3.333333333,0,1.666666667,0,1.666666667,0,1.666666667,0,1.666666667,0,1.666666667,0,305,0,0,0,8.333333333,0,0,0,0,0,0,18.33333333,306.6666667,5,0,,18.33,,231.6666667,0,5,40,0,0,5,0,286.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,1.666666667,1.666666667,5,5,0,0,0,0,0,0,0,10,5,0,1,139
44,144,204,4048,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,3.333333333,1.666666667,1.666666667,0,5,0,5,0,1.666666667,0,1.666666667,0,383.3333333,0,1.666666667,0,0,0,0,0,1.666666667,0,0,13.33333333,280,18.33333333,0,,18.33,,201.6666667,0,3.333333333,71.66666667,0,0,6.666666667,0,296.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,3,3,0,0,0,0,0,0,0,7,3,0,1,144
49,149,209,4182,30,0,0,1.666666667,0,1.667,0,0,0,0,0,1.667,0,0,0,5,1.666666667,5,11.66666667,0,0,1.666666667,0,0,0,0,6.666666667,0,6.666666667,0,533.3333333,0,0,1.666666667,5,0,0,0,0,0,0,1.666666667,361.6666667,5,0,,5,,281.6666667,3.333333333,3.333333333,31.66666667,8.333333333,8.333333333,6.666666667,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,2,2,0,1,149
54,154,214,4245,30,0,0,0,1.666666667,1.667,0,0,0,0,0,1.667,0,0,0,0,0,6.666666667,6.666666667,0,3.333333333,0,0,0,0,0,8.333333333,0,8.333333333,0,166.6666667,0,0,0,0,0,0,0,1.666666667,0,0,3.333333333,86.66666667,5,0,,5,,113.3333333,0,1.666666667,11.66666667,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,2,2,0,0,0,0,0,0,0,3,2,0,1,154
